unique_id,ds,NBEATS,NHITS
hotel_63,2023-06-22,0.7018554,0.6979147
hotel_63,2023-06-23,0.8245557,0.83706766
hotel_63,2023-06-24,0.8706256,0.8494419
hotel_63,2023-06-25,0.56636673,0.59068626
hotel_63,2023-06-26,0.58933973,0.58236897
hotel_63,2023-06-27,0.70593596,0.65181506
hotel_63,2023-06-28,0.74373645,0.69883657
hotel_63,2023-06-29,0.7282794,0.704581
hotel_63,2023-06-30,0.85514593,0.83228505
hotel_63,2023-07-01,0.897661,0.8254826
hotel_7,2023-06-04,0.66553575,0.6667582
hotel_7,2023-06-05,0.5702136,0.58357763
hotel_7,2023-06-06,0.580375,0.5916025
hotel_7,2023-06-07,0.65802294,0.66952
hotel_7,2023-06-08,0.71068484,0.7487364
hotel_7,2023-06-09,0.7315803,0.740111
hotel_7,2023-06-10,0.69143236,0.6876161
hotel_7,2023-06-11,0.62233,0.6399023
hotel_7,2023-06-12,0.53330725,0.56325364
hotel_7,2023-06-13,0.54624796,0.56009257
hotel_7,2023-06-14,0.6381617,0.65099657
hotel_7,2023-06-15,0.70341134,0.72265506
hotel_7,2023-06-16,0.7260467,0.73625624
hotel_7,2023-06-17,0.6954405,0.696909
hotel_7,2023-06-18,0.6353291,0.64785844
hotel_7,2023-06-19,0.5168522,0.5632029
hotel_7,2023-06-20,0.55844736,0.57006043
hotel_7,2023-06-21,0.64061624,0.6569097
hotel_7,2023-06-22,0.6935527,0.7350567
hotel_7,2023-06-23,0.752784,0.7290748
hotel_7,2023-06-24,0.6856139,0.69164103
hotel_7,2023-06-25,0.66572374,0.65220404
hotel_7,2023-06-26,0.5515761,0.56274503
hotel_7,2023-06-27,0.5549686,0.5741689
hotel_7,2023-06-28,0.6531187,0.65056103
hotel_7,2023-06-29,0.70576143,0.72028285
hotel_7,2023-06-30,0.7117331,0.721102
hotel_7,2023-07-01,0.709478,0.68074787
hotel_70,2023-06-04,0.44646126,0.4651786
hotel_70,2023-06-05,0.46341383,0.4551596
hotel_70,2023-06-06,0.45466888,0.4547847
hotel_70,2023-06-07,0.43553185,0.44899178
hotel_70,2023-06-08,0.46205488,0.46595895
hotel_70,2023-06-09,0.53160584,0.52386034
hotel_70,2023-06-10,0.54685014,0.535994
hotel_70,2023-06-11,0.4061553,0.38994804
hotel_70,2023-06-12,0.44360128,0.39840555
hotel_70,2023-06-13,0.43947542,0.43867037
hotel_70,2023-06-14,0.43585807,0.42706072
hotel_70,2023-06-15,0.4492942,0.44611424
hotel_70,2023-06-16,0.52785677,0.51909006
hotel_70,2023-06-17,0.5389885,0.5225423
hotel_70,2023-06-18,0.39352298,0.37638882
hotel_70,2023-06-19,0.44202954,0.38990524
hotel_70,2023-06-20,0.43436682,0.42501172
hotel_70,2023-06-21,0.42887515,0.43918788
hotel_70,2023-06-22,0.45844185,0.44996268
hotel_70,2023-06-23,0.5331561,0.5241559
hotel_70,2023-06-24,0.52423495,0.5260825
hotel_70,2023-06-25,0.41164216,0.39829773
hotel_70,2023-06-26,0.44300553,0.4041645
hotel_70,2023-06-27,0.43481612,0.452843
hotel_70,2023-06-28,0.4451727,0.44996333
hotel_70,2023-06-29,0.47119027,0.46098393
hotel_70,2023-06-30,0.5354037,0.528578
hotel_70,2023-07-01,0.5497465,0.52711874
hotel_84,2023-06-04,0.78683174,0.7981801
hotel_84,2023-06-05,0.83949995,0.7816622
hotel_84,2023-06-06,0.8458445,0.8194403
hotel_84,2023-06-07,0.81178796,0.7976214
hotel_84,2023-06-08,0.81698227,0.7680816
hotel_84,2023-06-09,0.87674206,0.86142945
hotel_84,2023-06-10,0.90554726,0.92058337
hotel_84,2023-06-11,0.74001247,0.738052
hotel_84,2023-06-12,0.81898034,0.7361605
hotel_84,2023-06-13,0.84833086,0.82697856
hotel_84,2023-06-14,0.8156112,0.7892727
hotel_84,2023-06-15,0.8227506,0.7755048
hotel_84,2023-06-16,0.90153307,0.87002444
hotel_84,2023-06-17,0.9150607,0.91070545
hotel_84,2023-06-18,0.7262951,0.7270675
